latitude,longitude,area_in_meters,confidence
-33.49440864,-70.75129839,33.7485,0.678
-33.50809837,-70.77793891,39.2064,0.8156
-33.51116978,-70.75269908,74.8341,0.7171
-33.51662989,-70.74394763,37.3435,0.7911
-33.49959779,-70.77376449,18.1689,0.7932
-33.51728519,-70.78968822,285.8165,0.8021
-33.51572214,-70.76829339,21.7143,0.6683
-33.5162203,-70.78385104,211.94,0.8325
-33.49609861,-70.76699499,25.1976,0.7184
-33.49619708,-70.74486881,74.3546,0.8349
-33.50882973,-70.74927411,36.2276,0.7908
-33.51802639,-70.77941657,171.8951,0.8831
-33.52147104,-70.76062833,13.0881,0.6606
-33.50409887,-70.7479523,18.505,0.7177
-33.50662356,-70.75067254,30.7463,0.801
-33.50812589,-70.75236786,139.0497,0.8905
-33.50184666,-70.77512904,55.791,0.6871
-33.52151424,-70.76615794,122.8838,0.9085
-33.52375495,-70.77417642,18.8918,0.6551
-33.51531129,-70.78470125,250.5222,0.765
-33.49678533,-70.75879554,15.5874,0.7315
-33.49744732,-70.74299006,94.1276,0.9101
-33.50718761,-70.74056537,45.3495,0.7199
-33.49787706,-70.76708832,78.4242,0.7497
-33.51147802,-70.76058413,11.3238,0.7248
-33.52499962,-70.75574559,21.4821,0.7876
-33.50508224,-70.78252379,110.1346,0.8522
-33.52854515,-70.7564138,42.7773,0.7541
-33.50310296,-70.74549174,33.0055,0.7729
-33.51279857,-70.78235153,403.4093,0.8275
-33.49860292,-70.74302053,75.7653,0.8229
-33.5218937,-70.76648831,156.4751,0.8177
-33.52078486,-70.78060606,141.9272,0.8837
-33.4977909,-70.74324568,70.9189,0.7779
-33.50099509,-70.78668989,12.4681,0.7033
-33.50732963,-70.77722954,7.3941,0.6711
-33.50523239,-70.77277962,28.6362,0.7193
-33.50311181,-70.78784001,100.4384,0.8994
-33.52325957,-70.77499869,11.129,0.8198
-33.50946425,-70.77946182,100.3022,0.8515
-33.51535487,-70.7460792,117.7423,0.7975
-33.50444059,-70.77320264,12.2965,0.6728
-33.49997732,-70.76185906,135.41,0.6864
-33.51549341,-70.75863442,51.7393,0.7847
-33.51350906,-70.78125831,13.1939,0.8114
-33.515741,-70.78128947,263.276,0.7912
-33.51308748,-70.78744528,30.1538,0.7211
-33.50675777,-70.77412497,7.5968,0.6907
-33.5079371,-70.75003567,8.1218,0.7305
-33.52129458,-70.76370843,215.9343,0.7889
-33.50141645,-70.76072762,16.0819,0.8009
-33.49886395,-70.75099065,172.9141,0.8126
-33.51991967,-70.76904819,34.163,0.7005
-33.49846319,-70.77459075,28.8458,0.6606
-33.51037477,-70.76220783,40.6089,0.7049
-33.52258931,-70.78277792,7.2126,0.663
-33.51992502,-70.78487541,24.6157,0.7122
-33.51609397,-70.76275491,43.0928,0.7271
-33.50000177,-70.77375082,46.3729,0.7412
-33.52482433,-70.76646808,60.055,0.8577
-33.49938194,-70.77402915,38.8044,0.8315
-33.49619452,-70.74470493,104.202,0.7801
-33.49698057,-70.76464157,32.8428,0.7277
-33.49216506,-70.7605467,22.2431,0.6935
-33.51480398,-70.74329469,96.9653,0.702
-33.51643532,-70.78902283,6.9744,0.696
-33.51947061,-70.78492223,28.7702,0.661
-33.51369053,-70.78277759,106.7212,0.7708
-33.49733054,-70.77326033,213.793,0.8574
-33.51729574,-70.78333489,39.3714,0.7844
-33.49472315,-70.75246871,10.9563,0.6537
-33.51906079,-70.77509618,142.6005,0.7822
-33.49749228,-70.7717332,113.883,0.8456
-33.51448127,-70.7841278,367.7596,0.8214
-33.5201844,-70.7542674,245.9158,0.8251
-33.50364355,-70.740503,92.2299,0.8771
-33.50709389,-70.74327319,36.2076,0.6818
-33.4902576,-70.7438968,140.3797,0.8116
-33.49991454,-70.76825713,34.7873,0.7505
-33.50154889,-70.78609972,120.4288,0.8871
-33.51762036,-70.78278666,20.9457,0.7717
-33.51942089,-70.7748722,143.5226,0.8283
-33.50835556,-70.78889605,129.0077,0.7344
-33.49640969,-70.74530865,73.3089,0.693
-33.51480565,-70.78570197,103.4007,0.7543
-33.49141163,-70.78066384,43.5956,0.7116
-33.51097791,-70.78374389,13.824,0.6776
-33.50631968,-70.76289459,94.194,0.7901
-33.50221114,-70.78152211,10.7431,0.706
-33.51577648,-70.78377325,203.5946,0.7583
-33.52582975,-70.77179621,91.991,0.905
-33.52599726,-70.78340663,175.2874,0.8288
-33.51192386,-70.77148017,8.033,0.6615
-33.49745391,-70.74601279,94.8244,0.7771
-33.50865935,-70.78034795,27.7331,0.7371
-33.52471945,-70.77731738,25.2234,0.6692
-33.49834292,-70.74562119,103.877,0.8247
-33.51292816,-70.76537943,96.2114,0.8826
-33.49318224,-70.74670036,8.0461,0.6985
-33.50528178,-70.7523989,28.0107,0.7788
-33.51015487,-70.78890339,23.272,0.7167
-33.51621026,-70.7735539,19.6829,0.7369
-33.52083588,-70.77516753,7.0846,0.6865
-33.5217563,-70.76053436,73.0106,0.7407
-33.52249027,-70.75507243,108.8591,0.9203
-33.51725874,-70.78424025,46.9769,0.7374
-33.50952309,-70.74150137,40.6854,0.7672
-33.5179681,-70.78995244,24.8955,0.712
-33.49453542,-70.75144192,19.2012,0.6503
-33.49394392,-70.76190465,58.9694,0.735
-33.49217848,-70.74574873,161.7586,0.8367
-33.50691105,-70.75989199,16.1199,0.7222
-33.51935273,-70.77761211,44.1926,0.798
-33.50844086,-70.75240813,32.9212,0.6832
-33.50753295,-70.76241513,67.1327,0.8196
-33.49488112,-70.75185039,27.3714,0.6892
-33.5134375,-70.7827246,33.4782,0.8387
-33.50482776,-70.78481839,13.8856,0.7755
-33.52827729,-70.76525483,117.5851,0.7488
-33.50546933,-70.776098,60.9591,0.796
-33.49129024,-70.75788228,152.4057,0.8963
-33.52415189,-70.77687411,7.72,0.702
-33.50094107,-70.78666244,14.3224,0.7316
-33.52390601,-70.77970681,5.5585,0.6755
-33.52115511,-70.78615326,11.5763,0.7356
-33.52314337,-70.75231205,113.1145,0.6627
-33.51758926,-70.75286413,31.8299,0.8033
-33.52604616,-70.77487013,136.2906,0.7906
-33.50652894,-70.78084653,89.2955,0.7348
-33.50853655,-70.76431458,86.419,0.8674
-33.52857143,-70.76780563,63.5861,0.6988
-33.51873926,-70.78474151,26.7125,0.8146
-33.51284689,-70.77074824,158.7071,0.838
-33.50284618,-70.74118155,27.7296,0.7832
-33.5058855,-70.77610494,98.9242,0.7386
-33.51905248,-70.78747128,149.5472,0.7921
-33.50423039,-70.76032372,14.4373,0.7766
-33.51159544,-70.78041005,24.2795,0.654
-33.4926197,-70.74630831,13.799,0.6771
-33.52105306,-70.76574412,30.158,0.7125
-33.51602762,-70.77370203,256.4285,0.806
-33.51848911,-70.78035907,25.8486,0.6935
-33.49669892,-70.75985943,127.0974,0.8178
-33.50638696,-70.76468805,1009.3176,0.9164
-33.49845601,-70.75470744,7.8162,0.755
-33.49998998,-70.76844189,128.7558,0.7586
-33.51246766,-70.77584979,140.6243,0.7951
-33.51908332,-70.75871391,49.9087,0.7637
-33.49798609,-70.74204678,131.3801,0.7341
-33.50958924,-70.76861134,26.2227,0.7718
-33.52212807,-70.77971473,39.4152,0.6939
-33.51619296,-70.78018618,31.0107,0.8051
-33.51801537,-70.78985238,11.2546,0.664
-33.51266619,-70.75535523,42.6918,0.852
-33.4920781,-70.7495296,11.0329,0.662
-33.52592737,-70.77085462,244.7361,0.864
-33.49598274,-70.75247331,19.7735,0.8124
-33.49766438,-70.77798956,12.8042,0.7076
-33.52262481,-70.75975644,138.2877,0.843
-33.51110393,-70.78259464,41.1015,0.7257
-33.50518588,-70.76121155,122.0509,0.8116
-33.51170229,-70.78086587,209.2177,0.852
-33.51903346,-70.76520179,128.3953,0.9218
-33.49595926,-70.77283804,61.7197,0.7148
-33.50946065,-70.78267872,203.6621,0.7675
-33.50885557,-70.77900588,7.5039,0.6731
-33.500774,-70.77812255,315.5817,0.8997
-33.50001641,-70.74666351,24.3841,0.7418
-33.4905457,-70.78121027,36.6586,0.6872
-33.49181067,-70.76372041,71.1989,0.7981
-33.52599881,-70.7700638,19.2554,0.7093
-33.49553866,-70.76220416,77.5942,0.8409
-33.51152706,-70.78682597,331.6463,0.7884
-33.49203018,-70.74691693,114.386,0.7609
-33.49161705,-70.78239064,124.8264,0.8511
-33.50551144,-70.74065802,11.5729,0.681
-33.51496327,-70.75837214,222.3578,0.8722
-33.49468659,-70.76215815,88.3925,0.7639
-33.49004454,-70.75589844,87.6493,0.8222
-33.51507106,-70.78022738,71.0242,0.7849
-33.50196185,-70.78547607,133.6249,0.9181
-33.52073909,-70.78180596,56.4072,0.73
-33.51654795,-70.76143387,46.9029,0.769
-33.50444726,-70.74201824,96.1033,0.7173
-33.5249253,-70.77284764,176.0117,0.8956
-33.5271245,-70.77848658,20.3061,0.6586
-33.49255108,-70.77556766,136.54,0.9135
-33.51792531,-70.78077406,18.5146,0.7386
-33.51109253,-70.78770475,278.3683,0.8215
-33.51706571,-70.74357725,147.5679,0.8734
-33.51578737,-70.75998332,243.9604,0.8216
-33.50639867,-70.74205266,10.3977,0.6789
-33.49388258,-70.77213455,30.8026,0.6779
-33.51460741,-70.77289878,113.3982,0.8938
-33.50083908,-70.76073616,17.0468,0.6843
-33.5089739,-70.7440221,12.7807,0.6919
-33.52037931,-70.7795697,37.3339,0.6634
-33.51700552,-70.77890447,32.0377,0.7199
-33.52988042,-70.78220882,69.0617,0.7521
-33.52060287,-70.75670887,412.2533,0.9127
-33.51775735,-70.75265692,104.551,0.8736
-33.50269985,-70.74178227,59.5075,0.853
-33.5288075,-70.76412628,63.3901,0.733
-33.50199471,-70.77240598,107.5019,0.7801
-33.51188582,-70.74613944,77.1524,0.8402
-33.5259607,-70.74266751,561.8023,0.8867
